Organism Latin Name,Level 1 Category,Level 2 Category,KEGG ID,Pathway Name,URL
ath,Metabolism,Carbohydrate metabolism,ko00562,Inositol phosphate metabolism,https://www.kegg.jp/pathway/ath00562
ath,Metabolism,Energy metabolism,ko00190,Oxidative phosphorylation,https://www.kegg.jp/pathway/ath00190
ath,Metabolism,Energy metabolism,ko00195,Photosynthesis,https://www.kegg.jp/pathway/ath00195
ath,Metabolism,Energy metabolism,ko00196,Photosynthesis - antenna proteins,https://www.kegg.jp/pathway/ath00196
ath,Metabolism,Energy metabolism,ko00710,Carbon fixation by Calvin cycle,https://www.kegg.jp/pathway/ath00710
ath,Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,https://www.kegg.jp/pathway/ath00910
ath,Metabolism,Energy metabolism,ko00920,Sulfur metabolism,https://www.kegg.jp/pathway/ath00920
ath,Metabolism,Lipid metabolism,ko00061,Fatty acid biosynthesis,https://www.kegg.jp/pathway/ath00061
ath,Metabolism,Lipid metabolism,ko00062,Fatty acid elongation,https://www.kegg.jp/pathway/ath00062
ath,Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,https://www.kegg.jp/pathway/ath00071
ath,Metabolism,Lipid metabolism,ko00073,"Cutin, suberine and wax biosynthesis",https://www.kegg.jp/pathway/ath00073
ath,Metabolism,Lipid metabolism,ko00100,Steroid biosynthesis,https://www.kegg.jp/pathway/ath00100
ath,Metabolism,Lipid metabolism,ko00561,Glycerolipid metabolism,https://www.kegg.jp/pathway/ath00561
ath,Metabolism,Lipid metabolism,ko00564,Glycerophospholipid metabolism,https://www.kegg.jp/pathway/ath00564
ath,Metabolism,Lipid metabolism,ko00565,Ether lipid metabolism,https://www.kegg.jp/pathway/ath00565
ath,Metabolism,Lipid metabolism,ko00600,Sphingolipid metabolism,https://www.kegg.jp/pathway/ath00600
ath,Metabolism,Lipid metabolism,ko00590,Arachidonic acid metabolism,https://www.kegg.jp/pathway/ath00590
ath,Metabolism,Lipid metabolism,ko00591,Linoleic acid metabolism,https://www.kegg.jp/pathway/ath00591
ath,Metabolism,Lipid metabolism,ko00592,alpha-Linolenic acid metabolism,https://www.kegg.jp/pathway/ath00592
ath,Metabolism,Lipid metabolism,ko01040,Biosynthesis of unsaturated fatty acids,https://www.kegg.jp/pathway/ath01040
ath,Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,https://www.kegg.jp/pathway/ath00230
ath,Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,https://www.kegg.jp/pathway/ath00240
ath,Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",https://www.kegg.jp/pathway/ath00250
ath,Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",https://www.kegg.jp/pathway/ath00260
ath,Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,https://www.kegg.jp/pathway/ath00270
ath,Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",https://www.kegg.jp/pathway/ath00280
ath,Metabolism,Amino acid metabolism,ko00290,"Valine, leucine and isoleucine biosynthesis",https://www.kegg.jp/pathway/ath00290
ath,Metabolism,Amino acid metabolism,ko00300,Lysine biosynthesis,https://www.kegg.jp/pathway/ath00300
ath,Metabolism,Amino acid metabolism,ko00310,Lysine degradation,https://www.kegg.jp/pathway/ath00310
ath,Metabolism,Amino acid metabolism,ko00220,Arginine biosynthesis,https://www.kegg.jp/pathway/ath00220
ath,Metabolism,Amino acid metabolism,ko00330,Arginine and proline metabolism,https://www.kegg.jp/pathway/ath00330
ath,Metabolism,Amino acid metabolism,ko00340,Histidine metabolism,https://www.kegg.jp/pathway/ath00340
ath,Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,https://www.kegg.jp/pathway/ath00350
ath,Metabolism,Amino acid metabolism,ko00360,Phenylalanine metabolism,https://www.kegg.jp/pathway/ath00360
ath,Metabolism,Amino acid metabolism,ko00380,Tryptophan metabolism,https://www.kegg.jp/pathway/ath00380
ath,Metabolism,Amino acid metabolism,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",https://www.kegg.jp/pathway/ath00400
ath,Metabolism,Metabolism of other amino acids,ko00410,beta-Alanine metabolism,https://www.kegg.jp/pathway/ath00410
ath,Metabolism,Metabolism of other amino acids,ko00430,Taurine and hypotaurine metabolism,https://www.kegg.jp/pathway/ath00430
ath,Metabolism,Metabolism of other amino acids,ko00440,Phosphonate and phosphinate metabolism,https://www.kegg.jp/pathway/ath00440
ath,Metabolism,Metabolism of other amino acids,ko00450,Selenocompound metabolism,https://www.kegg.jp/pathway/ath00450
ath,Metabolism,Metabolism of other amino acids,ko00460,Cyanoamino acid metabolism,https://www.kegg.jp/pathway/ath00460
ath,Metabolism,Metabolism of other amino acids,ko00470,D-Amino acid metabolism,https://www.kegg.jp/pathway/ath00470
ath,Metabolism,Metabolism of other amino acids,ko00480,Glutathione metabolism,https://www.kegg.jp/pathway/ath00480
ath,Metabolism,Glycan biosynthesis and metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,https://www.kegg.jp/pathway/ath00520
ath,Metabolism,Glycan biosynthesis and metabolism,ko00541,Biosynthesis of various nucleotide sugars,https://www.kegg.jp/pathway/ath00541
ath,Metabolism,Glycan biosynthesis and metabolism,ko00510,N-Glycan biosynthesis,https://www.kegg.jp/pathway/ath00510
ath,Metabolism,Glycan biosynthesis and metabolism,ko00513,Various types of N-glycan biosynthesis,https://www.kegg.jp/pathway/ath00513
ath,Metabolism,Glycan biosynthesis and metabolism,ko00514,Other types of O-glycan biosynthesis,https://www.kegg.jp/pathway/ath00514
ath,Metabolism,Glycan biosynthesis and metabolism,ko00531,Glycosaminoglycan degradation,https://www.kegg.jp/pathway/ath00531
ath,Metabolism,Glycan biosynthesis and metabolism,ko00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,https://www.kegg.jp/pathway/ath00563
ath,Metabolism,Glycan biosynthesis and metabolism,ko00601,Glycosphingolipid biosynthesis - lacto and neolacto series,https://www.kegg.jp/pathway/ath00601
ath,Metabolism,Glycan biosynthesis and metabolism,ko00603,Glycosphingolipid biosynthesis - globo and isoglobo series,https://www.kegg.jp/pathway/ath00603
ath,Metabolism,Glycan biosynthesis and metabolism,ko00604,Glycosphingolipid biosynthesis - ganglio series,https://www.kegg.jp/pathway/ath00604
ath,Metabolism,Glycan biosynthesis and metabolism,ko00511,Other glycan degradation,https://www.kegg.jp/pathway/ath00511
ath,Metabolism,Glycan biosynthesis and metabolism,ko00540,Lipopolysaccharide biosynthesis,https://www.kegg.jp/pathway/ath00540
ath,Metabolism,Glycan biosynthesis and metabolism,ko00543,Exopolysaccharide biosynthesis,https://www.kegg.jp/pathway/ath00543
ath,Metabolism,Metabolism of cofactors and vitamins,ko00730,Thiamine metabolism,https://www.kegg.jp/pathway/ath00730
ath,Metabolism,Metabolism of cofactors and vitamins,ko00740,Riboflavin metabolism,https://www.kegg.jp/pathway/ath00740
ath,Metabolism,Metabolism of cofactors and vitamins,ko00750,Vitamin B6 metabolism,https://www.kegg.jp/pathway/ath00750
ath,Metabolism,Metabolism of cofactors and vitamins,ko00760,Nicotinate and nicotinamide metabolism,https://www.kegg.jp/pathway/ath00760
ath,Metabolism,Metabolism of cofactors and vitamins,ko00770,Pantothenate and CoA biosynthesis,https://www.kegg.jp/pathway/ath00770
ath,Metabolism,Metabolism of cofactors and vitamins,ko00780,Biotin metabolism,https://www.kegg.jp/pathway/ath00780
ath,Metabolism,Metabolism of cofactors and vitamins,ko00785,Lipoic acid metabolism,https://www.kegg.jp/pathway/ath00785
ath,Metabolism,Metabolism of cofactors and vitamins,ko00790,Folate biosynthesis,https://www.kegg.jp/pathway/ath00790
ath,Metabolism,Metabolism of cofactors and vitamins,ko00670,One carbon pool by folate,https://www.kegg.jp/pathway/ath00670
ath,Metabolism,Metabolism of cofactors and vitamins,ko00860,Porphyrin metabolism,https://www.kegg.jp/pathway/ath00860
ath,Metabolism,Metabolism of cofactors and vitamins,ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,https://www.kegg.jp/pathway/ath00130
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00900,Terpenoid backbone biosynthesis,https://www.kegg.jp/pathway/ath00900
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00902,Monoterpenoid biosynthesis,https://www.kegg.jp/pathway/ath00902
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00909,Sesquiterpenoid and triterpenoid biosynthesis,https://www.kegg.jp/pathway/ath00909
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00904,Diterpenoid biosynthesis,https://www.kegg.jp/pathway/ath00904
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00906,Carotenoid biosynthesis,https://www.kegg.jp/pathway/ath00906
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00905,Brassinosteroid biosynthesis,https://www.kegg.jp/pathway/ath00905
ath,Metabolism,Metabolism of terpenoids and polyketides,ko00908,Zeatin biosynthesis,https://www.kegg.jp/pathway/ath00908
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00940,Phenylpropanoid biosynthesis,https://www.kegg.jp/pathway/ath00940
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",https://www.kegg.jp/pathway/ath00945
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00941,Flavonoid biosynthesis,https://www.kegg.jp/pathway/ath00941
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00944,Flavone and flavonol biosynthesis,https://www.kegg.jp/pathway/ath00944
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00942,Anthocyanin biosynthesis,https://www.kegg.jp/pathway/ath00942
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00901,Indole alkaloid biosynthesis,https://www.kegg.jp/pathway/ath00901
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00950,Isoquinoline alkaloid biosynthesis,https://www.kegg.jp/pathway/ath00950
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",https://www.kegg.jp/pathway/ath00960
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00232,Caffeine metabolism,https://www.kegg.jp/pathway/ath00232
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00965,Betalain biosynthesis,https://www.kegg.jp/pathway/ath00965
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00966,Glucosinolate biosynthesis,https://www.kegg.jp/pathway/ath00966
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00261,Monobactam biosynthesis,https://www.kegg.jp/pathway/ath00261
ath,Metabolism,Biosynthesis of other secondary metabolites,ko00999,Biosynthesis of various plant secondary metabolites,https://www.kegg.jp/pathway/ath00999
ath,Genetic Information Processing,Transcription,ko03020,RNA polymerase,https://www.kegg.jp/pathway/ath03020
ath,Genetic Information Processing,Transcription,ko03022,Basal transcription factors,https://www.kegg.jp/pathway/ath03022
ath,Genetic Information Processing,Transcription,ko03040,Spliceosome,https://www.kegg.jp/pathway/ath03040
ath,Genetic Information Processing,Translation,ko03010,Ribosome,https://www.kegg.jp/pathway/ath03010
ath,Genetic Information Processing,Translation,ko00970,Aminoacyl-tRNA biosynthesis,https://www.kegg.jp/pathway/ath00970
ath,Genetic Information Processing,Translation,ko03013,Nucleocytoplasmic transport,https://www.kegg.jp/pathway/ath03013
ath,Genetic Information Processing,Translation,ko03015,mRNA surveillance pathway,https://www.kegg.jp/pathway/ath03015
ath,Genetic Information Processing,Translation,ko03008,Ribosome biogenesis in eukaryotes,https://www.kegg.jp/pathway/ath03008
ath,Genetic Information Processing,"Folding, sorting and degradation",ko03060,Protein export,https://www.kegg.jp/pathway/ath03060
ath,Genetic Information Processing,"Folding, sorting and degradation",ko04141,Protein processing in endoplasmic reticulum,https://www.kegg.jp/pathway/ath04141
ath,Genetic Information Processing,"Folding, sorting and degradation",ko04130,SNARE interactions in vesicular transport,https://www.kegg.jp/pathway/ath04130
ath,Genetic Information Processing,"Folding, sorting and degradation",ko04120,Ubiquitin mediated proteolysis,https://www.kegg.jp/pathway/ath04120
ath,Genetic Information Processing,"Folding, sorting and degradation",ko04122,Sulfur relay system,https://www.kegg.jp/pathway/ath04122
ath,Genetic Information Processing,"Folding, sorting and degradation",ko03050,Proteasome,https://www.kegg.jp/pathway/ath03050
ath,Genetic Information Processing,"Folding, sorting and degradation",ko03018,RNA degradation,https://www.kegg.jp/pathway/ath03018
ath,Genetic Information Processing,Replication and repair,ko03030,DNA replication,https://www.kegg.jp/pathway/ath03030
ath,Genetic Information Processing,Replication and repair,ko03410,Base excision repair,https://www.kegg.jp/pathway/ath03410
ath,Genetic Information Processing,Replication and repair,ko03420,Nucleotide excision repair,https://www.kegg.jp/pathway/ath03420
ath,Genetic Information Processing,Replication and repair,ko03430,Mismatch repair,https://www.kegg.jp/pathway/ath03430
ath,Genetic Information Processing,Replication and repair,ko03440,Homologous recombination,https://www.kegg.jp/pathway/ath03440
ath,Genetic Information Processing,Replication and repair,ko03450,Non-homologous end-joining,https://www.kegg.jp/pathway/ath03450
ath,Genetic Information Processing,Replication and repair,ko03460,Fanconi anemia pathway,https://www.kegg.jp/pathway/ath03460
ath,Genetic Information Processing,Chromosome,ko03082,ATP-dependent chromatin remodeling,https://www.kegg.jp/pathway/ath03082
ath,Genetic Information Processing,Chromosome,ko03083,Polycomb repressive complex,https://www.kegg.jp/pathway/ath03083
ath,Genetic Information Processing,Information processing in viruses,ko03250,Viral life cycle - HIV-1,https://www.kegg.jp/pathway/ath03250
ath,Genetic Information Processing,Information processing in viruses,ko03272,Virion - Hepatitis viruses,https://www.kegg.jp/pathway/ath03272
ath,Environmental Information Processing,Membrane transport,ko02010,ABC transporters,https://www.kegg.jp/pathway/ath02010
ath,Environmental Information Processing,Signal transduction,ko04016,MAPK signaling pathway - plant,https://www.kegg.jp/pathway/ath04016
ath,Environmental Information Processing,Signal transduction,ko04070,Phosphatidylinositol signaling system,https://www.kegg.jp/pathway/ath04070
ath,Environmental Information Processing,Signal transduction,ko04075,Plant hormone signal transduction,https://www.kegg.jp/pathway/ath04075
ath,Environmental Information Processing,Signaling molecules and interaction,ko04082,Neuroactive ligand signaling,https://www.kegg.jp/pathway/ath04082
ath,Environmental Information Processing,Signaling molecules and interaction,ko04081,Hormone signaling,https://www.kegg.jp/pathway/ath04081
ath,Cellular Processes,Transport and catabolism,ko04144,Endocytosis,https://www.kegg.jp/pathway/ath04144
ath,Cellular Processes,Transport and catabolism,ko04145,Phagosome,https://www.kegg.jp/pathway/ath04145
ath,Cellular Processes,Transport and catabolism,ko04142,Lysosome,https://www.kegg.jp/pathway/ath04142
ath,Cellular Processes,Transport and catabolism,ko04146,Peroxisome,https://www.kegg.jp/pathway/ath04146
ath,Cellular Processes,Transport and catabolism,ko04136,Autophagy - other,https://www.kegg.jp/pathway/ath04136
ath,Cellular Processes,Transport and catabolism,ko04148,Efferocytosis,https://www.kegg.jp/pathway/ath04148
ath,Cellular Processes,Cell motility,ko04814,Motor proteins,https://www.kegg.jp/pathway/ath04814
ath,Cellular Processes,Cell motility,ko04820,Cytoskeleton in muscle cells,https://www.kegg.jp/pathway/ath04820
ath,Organismal Systems,Immune system,ko04620,Toll-like receptor signaling pathway,https://www.kegg.jp/pathway/ath04620
ath,Organismal Systems,Digestive system,ko04981,Folate transport and metabolism,https://www.kegg.jp/pathway/ath04981
ath,Organismal Systems,Development and regeneration,ko04382,Cornified envelope formation,https://www.kegg.jp/pathway/ath04382
ath,Organismal Systems,Environmental adaptation,ko04712,Circadian rhythm - plant,https://www.kegg.jp/pathway/ath04712
ath,Organismal Systems,Environmental adaptation,ko04626,Plant-pathogen interaction,https://www.kegg.jp/pathway/ath04626
ath,Human Diseases,Infectious disease: bacterial,ko05100,Bacterial invasion of epithelial cells,https://www.kegg.jp/pathway/ath05100
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01100,Metabolic pathways,https://www.kegg.jp/pathway/ath01100
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01110,Biosynthesis of secondary metabolites,https://www.kegg.jp/pathway/ath01110
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01200,Carbon metabolism,https://www.kegg.jp/pathway/ath01200
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01210,2-Oxocarboxylic acid metabolism,https://www.kegg.jp/pathway/ath01210
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01212,Fatty acid metabolism,https://www.kegg.jp/pathway/ath01212
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01230,Biosynthesis of amino acids,https://www.kegg.jp/pathway/ath01230
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01232,Nucleotide metabolism,https://www.kegg.jp/pathway/ath01232
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01250,Biosynthesis of nucleotide sugars,https://www.kegg.jp/pathway/ath01250
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01240,Biosynthesis of cofactors,https://www.kegg.jp/pathway/ath01240
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01310,Nitrogen cycle,https://www.kegg.jp/pathway/ath01310
Arabidopsis thaliana (thale cress),Metabolism,Global and overview maps,ko01320,Sulfur cycle,https://www.kegg.jp/pathway/ath01320
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,https://www.kegg.jp/pathway/ath00010
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),https://www.kegg.jp/pathway/ath00020
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00030,Pentose phosphate pathway,https://www.kegg.jp/pathway/ath00030
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00040,Pentose and glucuronate interconversions,https://www.kegg.jp/pathway/ath00040
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,https://www.kegg.jp/pathway/ath00051
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00052,Galactose metabolism,https://www.kegg.jp/pathway/ath00052
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00053,Ascorbate and aldarate metabolism,https://www.kegg.jp/pathway/ath00053
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,https://www.kegg.jp/pathway/ath00500
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,https://www.kegg.jp/pathway/ath00620
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,https://www.kegg.jp/pathway/ath00630
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,https://www.kegg.jp/pathway/ath00640
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00650,Butanoate metabolism,https://www.kegg.jp/pathway/ath00650
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00660,C5-Branched dibasic acid metabolism,https://www.kegg.jp/pathway/ath00660
Arabidopsis thaliana (thale cress),Metabolism,Carbohydrate metabolism,ko00562,Inositol phosphate metabolism,https://www.kegg.jp/pathway/ath00562
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00190,Oxidative phosphorylation,https://www.kegg.jp/pathway/ath00190
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00195,Photosynthesis,https://www.kegg.jp/pathway/ath00195
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00196,Photosynthesis - antenna proteins,https://www.kegg.jp/pathway/ath00196
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00710,Carbon fixation by Calvin cycle,https://www.kegg.jp/pathway/ath00710
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,https://www.kegg.jp/pathway/ath00910
Arabidopsis thaliana (thale cress),Metabolism,Energy metabolism,ko00920,Sulfur metabolism,https://www.kegg.jp/pathway/ath00920
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00061,Fatty acid biosynthesis,https://www.kegg.jp/pathway/ath00061
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00062,Fatty acid elongation,https://www.kegg.jp/pathway/ath00062
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,https://www.kegg.jp/pathway/ath00071
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00073,"Cutin, suberine and wax biosynthesis",https://www.kegg.jp/pathway/ath00073
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00100,Steroid biosynthesis,https://www.kegg.jp/pathway/ath00100
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00561,Glycerolipid metabolism,https://www.kegg.jp/pathway/ath00561
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00564,Glycerophospholipid metabolism,https://www.kegg.jp/pathway/ath00564
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00565,Ether lipid metabolism,https://www.kegg.jp/pathway/ath00565
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00600,Sphingolipid metabolism,https://www.kegg.jp/pathway/ath00600
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00590,Arachidonic acid metabolism,https://www.kegg.jp/pathway/ath00590
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00591,Linoleic acid metabolism,https://www.kegg.jp/pathway/ath00591
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko00592,alpha-Linolenic acid metabolism,https://www.kegg.jp/pathway/ath00592
Arabidopsis thaliana (thale cress),Metabolism,Lipid metabolism,ko01040,Biosynthesis of unsaturated fatty acids,https://www.kegg.jp/pathway/ath01040
Arabidopsis thaliana (thale cress),Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,https://www.kegg.jp/pathway/ath00230
Arabidopsis thaliana (thale cress),Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,https://www.kegg.jp/pathway/ath00240
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",https://www.kegg.jp/pathway/ath00250
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",https://www.kegg.jp/pathway/ath00260
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,https://www.kegg.jp/pathway/ath00270
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",https://www.kegg.jp/pathway/ath00280
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00290,"Valine, leucine and isoleucine biosynthesis",https://www.kegg.jp/pathway/ath00290
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00300,Lysine biosynthesis,https://www.kegg.jp/pathway/ath00300
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00310,Lysine degradation,https://www.kegg.jp/pathway/ath00310
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00220,Arginine biosynthesis,https://www.kegg.jp/pathway/ath00220
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00330,Arginine and proline metabolism,https://www.kegg.jp/pathway/ath00330
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00340,Histidine metabolism,https://www.kegg.jp/pathway/ath00340
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,https://www.kegg.jp/pathway/ath00350
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00360,Phenylalanine metabolism,https://www.kegg.jp/pathway/ath00360
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00380,Tryptophan metabolism,https://www.kegg.jp/pathway/ath00380
Arabidopsis thaliana (thale cress),Metabolism,Amino acid metabolism,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",https://www.kegg.jp/pathway/ath00400
Arabidopsis thaliana (thale cress),Metabolism,Metabolism of other amino acids,ko00410,beta-Alanine metabolism,https://www.kegg.jp/pathway/ath00410
Arabidopsis thaliana (thale cress),Metabolism,Metabolism of other amino acids,ko00430,Taurine and hypotaurine metabolism,https://www.kegg.jp/pathway/ath00430
Arabidopsis thaliana (thale cress),Metabolism,Metabolism of other amino acids,ko00440,Phosphonate and phosphinate metabolism,https://www.kegg.jp/pathway/ath00440
Arabidopsis thaliana (thale cress),Metabolism,Metabolism of other amino acids,ko00450,Selenocompound metabolism,https://www.kegg.jp/pathway/ath00450
